name,ra,dec,sn_type,max_epoch,max_mag,max_mag_flag,max_mag_band,redshift,radial_velocity,mult_sn_flag,unconfirmed_flag,galaxy_name,galaxy_ra_j2000,galaxy_dec_j2000,lii,bii,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,ra_offset,ra_offset_dir,dec_offset,dec_offset_flag,dec_offset_dir,max_epoch_flag,
SN 2007fq,20 34 55.80,-23 06 15.8,,2007-07-14,17.30,D,,,12721,,,M-04-48-19,20 34 56,-23 06 18,21.57554,-32.42208,,S0,-2.0,42,40,,,14.58,1.15,3.30,W,2.80,,N,D,
SN 2000dd,20 35 00.10,-23 05 55.2,Ia,2000-08-10,17.50,D,,,,,,A203500-2305,20 35 00,-23 05 55,21.58815,-32.43590,,,,,,,,,,,,1.60,,N,D,
SN 2006im,22 07 58.11,-23 05 49.9,II,2006-09-14,18.30,D,R,,18000,,,A220758-2305,22 07 58,-23 05 49,29.89326,-52.93588,,,,,,,,,,,,,,,D,
SN 2007Y,03 02 35.92,-22 53 50.1,Ib,2007-03-03,15.65,,B,,1396,Y,,NGC1187,03 02 38,-22 52 04,212.14572,-60.07023,,SBc,5.1,46,130,,,11.31,1.74,24.00,W,110.00,,S,,
SN 1982R,03 02 39.48,-22 51 01.5,Ib:,1982-10-24,14.80,D,B,,1396,Y,,NGC1187,03 02 38,-22 52 04,212.06218,-60.04489,,SBc,5.1,46,130,,,11.31,1.74,27.00,E,61.00,,N,D,
SN 1993K,06 24 36.00,-22 50 19.0,II,1993-03-28,14.50,D,,,2721,,,NGC2223,06 24 36,-22 50 19,230.87205,-15.83178,G,SBb,3.2,29,175,,,12.63,1.47,30.00,E,31.00,,N,D,
SN 2002dh,15 24 49.35,-22 45 57.7,II,2002-05-28,18.30,D,,,3900,,,A152449-2245,15 24 49,-22 45 57,343.24931,27.85053,,,,,,,,,,3.00,E,7.00,,N,D,
SN 2002dt,16 03 47.30,-22 44 19.5,?,2002-06-26,18.50,D,,,7487,,,E516-G05,16 03 46,-22 44 07,350.61289,21.84198,,Sbc,3.8,49,134,,,15.20,0.88,7.80,E,11.10,,S,D,
SN 2013cy,22 10 34.21,-22 39 48.0,Ia,2013-05-31,16.80,D,,,9428,Y,,M-04-52-18,22 10 34,-22 39 22,30.85378,-53.40041,,SBbc,4.1,21,,,,14.54,1.16,3.00,E,26.00,,S,D,
SN 1937B,22 10 34.00,-22 39 22.0,,1937-08-26,15.30,D,,,9428,Y,,M-04-52-18,22 10 34,-22 39 22,30.86509,-53.39771,G,SBbc,4.1,21,,,,14.54,1.16,29.00,E,31.00,,S,D,
SN 2004dr,02 46 53.97,-22 38 15.0,II P,2004-08-09,17.50,D,,,6925,,,E479-G42,02 46 53,-22 38 47,209.59106,-63.49218,,SBm pec,9.2,61,21,,,14.41,1.07,7.70,E,31.60,,N,D,
SN 2006dc,16 16 04.04,-22 37 16.7,IIn,2006-06-18,17.80,D,,,7670,,,IC4596,16 16 04,-22 37 31,352.79021,19.86800,,SBab,2.1,72,54,,,14.71,1.17,6.30,E,14.60,,N,D,
SN 2014dp,08 19 37.98,-22 34 14.7,Ib,2014-09-28,16.80,D,,,5835,,,E562-G03,08 19 39,-22 34 10,243.20849,7.67133,,Sc,4.9,36,40,,,14.55,1.08,14.00,W,4.00,,S,D,
SN 2012ev,22 03 02.99,-22 31 01.0,Ia,2012-09-05,17.80,D,,,21952,,,A220302-2231,22 03 02,-22 31 01,30.31771,-51.68919,,,,,,,,,,4.90,W,0.50,,S,D,
SN 1993D,11 28 58.81,-22 29 06.2,Ia,1993-02-01,18.00,D,,,8190,,,E571-G03,11 29 00,-22 28 56,279.04934,36.53330,,S0/a,-1.1,39,,,,14.05,1.01,10.70,W,6.80,,S,D,
SN 2004av,11 40 57.84,-22 28 53.6,Ia,2004-03-17,15.80,D,,,7057,,,E571-G15,11 40 59,-22 28 38,282.27658,37.54726,,Sb,3.3,80,37,,,15.02,1.22,12.60,W,15.90,,S,D,
SN 2001fx,23 39 32.72,-22 24 46.3,Ib,2001-11-08,18.20,D,R,,8021,,,IC5345,23 39 32,-22 24 48,45.12421,-73.03157,,Sab,2.0,45,153,,,14.88,0.87,8.00,E,1.30,,N,D,
SN 2004db,22 47 55.88,-22 19 40.5,Ia,2004-06-28,17.80,D,,,3325,,,NGC7377,22 47 47,-22 18 45,35.81461,-61.62006,,S0,-1.0,34,101,,,12.07,1.47,115.50,E,57.30,,S,D,
SN 2009aa,11 23 42.28,-22 16 14.5,Ia,2009-02-03,17.60,D,,,8306,,,E570-G20,11 23 41,-22 16 14,277.55481,36.24047,,Sbc,3.7,52,75,,,15.08,0.86,19.20,E,0.50,,S,D,
SN 2010lx,04 44 44.57,-22 12 19.1,IIn,2010-11-03,18.70,D,,0.1000,,,,A044444-2212,04 44 44,-22 12 19,221.21277,-37.22790,,,,,,,,,,0.40,E,1.40,,N,D,
SN 2004al,09 37 06.66,-22 10 18.9,II,2004-03-03,16.80,D,,,4324,,,E565-G25,09 37 07,-22 10 18,254.47002,21.91025,,Sc,5.0,57,113,,,15.18,0.89,7.00,W,0.90,,S,D,
SN 2003am,13 20 43.57,-22 02 53.5,II,2003-02-09,17.80,D,,,2069,Y,,E576-G40,13 20 44,-22 03 01,311.84422,40.31617,,SBd:pec,7.0,79,157,,,14.73,1.32,2.90,W,11.10,,N,D,
SN 1997br,13 20 42.40,-22 02 12.3,Ia pec,1997-04-20,14.06,,B,,2069,Y,,E576-G40,13 20 44,-22 03 01,311.84059,40.32816,,SBd:pec,7.0,79,157,,,14.73,1.32,20.60,W,51.60,,N,,
SN 1986O,06 25 58.00,-22 00 19.0,Ia,1986-12-20,14.00,:,V,,2260,,,NGC2227,06 25 58,-22 00 19,230.20862,-15.21083,G,SBc,5.2,58,19,,,13.23,1.33,0.00,,25.00,,S,:,
SN 2000bh,12 21 15.14,-21 59 55.7,Ia,2000-04-05,16.00,D,V,,6905,,,E573-G14,12 21 16,-21 59 44,293.74018,40.33358,,Sc,4.7,51,98,,,15.06,1.14,8.00,W,11.00,,S,D,
SN 2007fc,23 57 33.89,-21 59 53.0,Ia,2007-07-08,16.90,D,,,10116,,,E538-G08,23 57 32,-22 00 00,52.74254,-76.73032,,Sb pec,3.0,76,65,,,16.33,1.20,22.90,E,8.50,,N,D,
SN 2003hd,01 49 46.31,-21 54 37.8,II,2003-08-09,17.40,D,,,11798,,,M-04-05-10,01 49 47,-21 54 26,194.61986,-75.75529,,Sbc,4.2,62,145,,,14.90,0.93,11.00,W,10.20,,S,D,
SN 2008em,22 44 37.70,-21 54 35.2,Ic:,2008-07-31,18.70,D,,,9978,,,M-04-53-33,22 44 39,-21 54 35,36.19890,-60.76815,,Sbc,4.1,72,100,,,15.41,1.06,17.80,W,0.50,,S,D,
SN 2006ri,02 15 57.44,-21 54 19.4,Ia,2006-11-06,19.58,,R,,27000,,,A021557-2154,02 15 57,-21 54 19,202.33293,-70.10718,,,,,,,,,,,,,,,D,
SN 2011I,09 50 24.99,-21 51 45.1,Ia,2011-01-06,15.80,D,,,,,,A095024-2151,09 50 24,-21 51 45,256.60472,24.30838,,,,,,,,,,1.00,E,1.00,,N,D,
SN 2003ap,09 50 52.83,-21 51 10.1,Ia,2003-02-09,16.70,D,,,9000,,,A095052-2151,09 50 52,-21 51 10,256.68250,24.39001,,,,,,,,,,0.70,W,0.90,,S,D,
SN 2001af,09 50 28.70,-21 48 30.7,II,2001-03-18,16.80,D,,,8791,,,M-04-24-01,09 50 27,-21 48 09,256.57495,24.35723,,SBbc,4.0,42,170,,,13.85,1.12,13.60,E,22.70,,S,D,
SN 2001M,10 24 31.48,-21 47 40.6,Ic,2001-01-21,17.50,D,,,3970,,,NGC3240,10 24 31,-21 47 26,263.27155,29.53948,,Scd:,5.8,32,85,,,13.97,1.04,12.30,E,12.70,,S,D,
SN 2004cf,14 11 05.77,-11 44 09.4,Ib/c,2004-05-14,22.90,D,R,0.2470,,,,A141105-1144,14 11 05,-11 44 09,331.96696,46.59612,,,,,,,,,,1.00,W,1.00,,S,D,
SN 1978A,13 30 16.40,-21 44 52.0,II pec,1978-05-08,17.00,D,,,7377,,,M-04-32-23,13 30 18,-21 44 52,314.77126,40.22950,,Sb,2.8,63,81,,,15.52,0.91,15.00,W,0.00,,,D,
SN 2010lz,01 50 21.32,-21 44 31.9,Ic,2010-12-03,18.40,D,,,27000,,,A015021-2144,01 50 21,-21 44 31,194.22983,-75.56208,,,,,,,,,,,,,,,D,
SN 2003gf,22 13 40.94,-21 44 03.3,Ic:,2003-06-24,14.60,D,,,2612,,,M-04-52-26,22 13 40,-21 44 03,32.69487,-53.83585,,IBm,10.0,58,108,,,15.37,1.11,19.20,E,3.90,,S,D,
SN 2008cv,21 04 55.31,-21 43 49.5,Ia,2008-06-02,17.00,D,,,8641,,,E598-G22,21 04 56,-21 43 50,25.84011,-38.57799,,S0,-1.9,24,,,,14.48,0.99,6.70,W,0.10,,S,D,
SN 2010jh,22 35 16.47,-21 41 54.1,,2010-10-12,16.70,D,,,,,,A223516-2141,22 35 16,-21 41 54,35.35686,-58.62846,,,,,,,,,,0.90,W,0.10,,N,D,
SN 2003ev,13 10 31.80,-21 39 49.6,Ic,2003-06-01,18.50,D,,,7200,,,A131031-2139,13 10 31,-21 39 49,308.81214,40.98989,,,,,,,,,,2.20,E,6.40,,N,D,
SN 2007ai,16 12 53.74,-21 37 48.7,Ia,2007-03-06,18.00,D,,,9501,,,M-04-38-04,16 12 53,-21 37 24,353.03766,21.07964,,SBc,5.1,41,148,,,14.65,1.03,5.10,E,24.50,,S,D,
SN 2007cc,14 08 41.98,-21 35 48.4,Ia,2007-04-27,15.90,D,,,8720,,,E578-G26,14 08 42,-21 35 54,325.84263,37.81360,,SBc pec:,4.5,49,53,,,14.64,1.25,1.20,E,2.70,,N,D,
SN 2006dx,21 10 34.49,-21 34 42.7,II,2006-07-19,19.20,D,,,10500,,,A211034-2110,21 10 34,-21 34 42,26.55065,-39.78009,,,,,,,,,,,,,,,D,
SN 2004ff,04 58 46.19,-21 34 12.0,IIb,2004-11-06,17.18,,R,,6818,,,E552-G40,04 58 47,-21 34 07,221.73909,-33.94031,,SBab,2.0,53,50,,,14.22,1.09,11.20,W,2.80,,S,,
SN 1975S,03 24 25.00,-21 32 33.0,II:,1975-12-30,14.60,D,V,,1589,,,NGC1325,03 24 25,-21 32 33,212.30444,-54.84333,G,SBbc,4.2,72,56,,,12.16,1.67,53.00,E,77.00,,N,D,
SN 2007fs,22 01 40.44,-21 30 29.6,Ia,2007-07-15,15.40,D,,,5180,,,E601-G05,22 01 38,-21 30 40,31.72480,-51.09891,,Sbc,3.7,79,65,,,15.13,1.22,12.40,E,2.50,,N,D,
SN 2005cw,22 16 39.61,-21 29 28.7,II,2005-07-11,18.50,D,,,9634,,,IC1439,22 16 40,-21 29 13,33.43338,-54.42816,,SBa,1.0,49,27,,,14.96,1.12,5.60,W,20.50,,S,D,
SN 2009du,13 39 46.36,-21 27 19.1,Ia,2009-04-17,19.40,D,,,18600,,,A133946-2127,13 39 46,-21 27 19,317.67261,40.02891,,,,,,,,,,,,,,,D,
SN 2010jp,06 16 30.63,-21 24 36.3,IIn,2010-11-11,17.20,D,,,,,,A061630-2124,06 16 30,-21 24 36,228.73452,-16.99201,,,,,,,,,,,,,,,D,
SN 2007at,14 51 12.28,-21 23 31.2,Ia,2007-03-18,17.70,D,,,16203,,,E580-G44,14 51 12,-21 23 23,336.79631,33.48752,,Sc,4.7,46,,,,15.61,0.88,7.70,E,7.80,,S,D,
SN 2013ai,06 16 18.35,-21 22 32.9,II,2013-03-01,17.40,D,R,,2747,Y,,NGC2207,06 16 22,-21 22 21,228.68200,-17.02239,,SBbc,4.3,54,141,,,12.57,1.64,51.00,W,11.00,,S,D,
SN 2003H,06 16 25.68,-21 22 23.8,Ib pec,2003-01-08,17.80,D,,,2747,Y,,NGC2207,06 16 22,-21 22 21,228.69124,-16.99523,,SBbc,4.3,54,141,,,12.57,1.64,51.20,E,2.10,,S,D,
SN 1975A,06 16 22.00,-21 22 21.0,Ia,1975-01-20,14.60,,B,,2747,Y,,NGC2207,06 16 22,-21 22 21,228.68463,-17.00806,G,SBbc,4.3,54,141,,,12.57,1.64,59.00,E,55.00,,N,,
